Omega,alpha,energy,sigma, distance
5,0.53,19.424274,5.5741553,0.98008493
5,0.54,19.249603,5.3797711,0.97099392
5,0.55,19.085471,5.1909349,0.96243333
5,0.56,18.927678,5.0093115,0.95347862
5,0.57,18.779425,4.8284971,0.9451857
5,0.58,18.642428,4.6600004,0.93725115
5,0.59,18.505195,4.4888451,0.92890634
5,0.6,18.383238,4.3368362,0.92132143
5,0.61,18.263417,4.1696618,0.9136141
5,0.62,18.151175,4.0139548,0.90631301
5,0.63,18.046592,3.8706553,0.89920758
5,0.64,17.946429,3.7187156,0.89189971
5,0.65,17.855138,3.5774084,0.88545257
5,0.66,17.762951,3.4366604,0.87841588
5,0.67,17.678702,3.2991046,0.87185798
5,0.68,17.599525,3.1673541,0.86527256
5,0.69,17.528082,3.0447242,0.85896755
5,0.7,17.458352,2.9165871,0.85316309
5,0.71,17.391094,2.7923593,0.84698117
5,0.72,17.330309,2.6753125,0.8410736
5,0.73,17.272117,2.5584363,0.83489151
5,0.74,17.221201,2.4481007,0.82970284
5,0.75,17.171273,2.3443021,0.82420752
5,0.76,17.123875,2.2369635,0.81850046
5,0.77,17.082727,2.1405328,0.81342376
5,0.78,17.041745,2.0341654,0.80824708
5,0.79,17.003369,1.9483585,0.80274447
5,0.8,16.970272,1.8525947,0.79799139
5,0.81,16.940924,1.7766192,0.79312126
5,0.82,16.913337,1.6926013,0.78831459
5,0.83,16.887472,1.6254157,0.78337982
5,0.84,16.864234,1.5415527,0.77872754
5,0.85,16.842674,1.4856733,0.77395324
5,0.86,16.826167,1.4172674,0.76969971
5,0.87,16.810667,1.3638914,0.76514112
5,0.88,16.797249,1.3528258,0.76065813
5,0.89,16.785019,1.2936144,0.75642566
5,0.9,16.775846,1.2461382,0.7523565
5,0.91,16.768232,1.2255424,0.74811713
5,0.92,16.763049,1.2346547,0.74390295
5,0.93,16.759518,1.2116443,0.73972918
5,0.94,16.758094,1.207458,0.73591682
5,0.95,16.758045,1.2042046,0.73245532
5,0.96,16.760596,1.2355514,0.72833842
5,0.97,16.763786,1.2349213,0.72459107
5,0.98,16.768705,1.2773732,0.72106803
5,0.99,16.776336,1.3040203,0.71703446
5,1,16.784706,1.3582519,0.71355335
5,1.01,16.794491,1.3933316,0.7098732
5,1.02,16.805221,1.4315178,0.70653056
5,1.03,16.817126,1.49122,0.70318037
